Year,Dist Name,Lat,Lon,N,P,K,Mean_NDVI,ANNUALRAIN,Fertility_Class
2017,Ratnagiri,16.9902,73.312,26.32,7.87,5.63,0.557116245,3335.3,Low
2007,Nasik,19.9975,73.7898,76.93,38.8,21.58,0.386990637,1210.9,Medium
2008,Nasik,19.9975,73.7898,85.38,52,21.75,0.350731728,1194.5,Medium
2009,Nasik,19.9975,73.7898,93.24,54.31,26.44,0.369476314,670.4,High
2010,Nasik,19.9975,73.7898,98.38,65.27,27.06,0.412999712,909.6,High
2011,Nasik,19.9975,73.7898,68.98,47.51,14.35,0.364357481,859.1,Medium
2012,Nasik,19.9975,73.7898,77.58,39.33,18.91,0.359644144,787.7,Medium
2013,Nasik,19.9975,73.7898,93.31,52.02,22.63,0.366727567,817.4,High
2014,Nasik,19.9975,73.7898,90.61,48.14,26.44,0.38005176,591.4,High
2015,Nasik,19.9975,73.7898,81.35,50.71,24.34,0.399091929,484.5,Medium
2016,Nasik,19.9975,73.7898,89.92,48.97,22.7,0.364346555,808.1,Medium
2017,Nasik,19.9975,73.7898,98.5,63.16,33.71,0.40313344,845.2,High
2007,Dhule,20.9042,74.7749,83.24,23.21,16.98,0.35553674,769.8,Medium
2008,Dhule,20.9042,74.7749,78.65,28.71,20.09,0.319836269,492.9,Medium
2009,Dhule,20.9042,74.7749,83.3,32.47,24.61,0.345017595,548.3,Medium
2010,Dhule,20.9042,74.7749,86.18,41.82,30.07,0.374158485,552.3,Medium
2011,Dhule,20.9042,74.7749,85.45,36.95,18.09,0.345723985,545.5,Medium
2012,Dhule,20.9042,74.7749,81.1,27.63,21.75,0.332413488,397,Medium
2013,Dhule,20.9042,74.7749,87.28,28.1,22.8,0.353156129,699.8,Medium
2014,Dhule,20.9042,74.7749,85.35,28.67,26.68,0.362920281,520.9,Medium
2015,Dhule,20.9042,74.7749,86.39,34.16,30.95,0.371619918,448.2,Medium
2016,Dhule,20.9042,74.7749,85.25,31.15,26.08,0.333182482,411.7,Medium
2017,Dhule,20.9042,74.7749,86.82,35.38,33.06,0.373621954,488.5,Medium
2007,Jalgaon,21.0077,75.5626,72.25,36.83,41.52,0.419140219,642.2,Medium
2008,Jalgaon,21.0077,75.5626,87.53,42.49,46.73,0.3777234,526.6,Medium
2009,Jalgaon,21.0077,75.5626,100.67,53.16,50.73,0.413532624,514.1,High
2010,Jalgaon,21.0077,75.5626,126.7,74.22,81.96,0.451437166,748.2,High
2011,Jalgaon,21.0077,75.5626,111.09,57.11,47.12,0.410108477,608.1,High
2012,Jalgaon,21.0077,75.5626,80.36,32.47,39.1,0.38867982,391,Medium
2013,Jalgaon,21.0077,75.5626,97.37,36.75,45.27,0.394825731,836.3,High
2014,Jalgaon,21.0077,75.5626,102.01,39.23,53.81,0.435525261,611.3,High
2015,Jalgaon,21.0077,75.5626,85.67,40.28,51.29,0.445114702,419,Medium
2016,Jalgaon,21.0077,75.5626,86.2,37.03,48.01,0.406442238,622.2,Medium
2017,Jalgaon,21.0077,75.5626,79.62,39.24,61.02,0.446278983,480.4,Medium
2007,Ahmednagar,19.101053,74.740677,55,29.66,22.99,0.380166755,551.6,Medium
2008,Ahmednagar,19.101053,74.740677,56.99,35.24,20.2,0.336202987,521.1,Medium
2009,Ahmednagar,19.101053,74.740677,65.31,47.51,28.01,0.370162286,448.7,Medium
